ts,dir,speed_kt,gust_kt,temp_c
1782345607,201,9.7,12.6,-1.0
1782346207,218,9.3,11.7,-1.2
1782346806,226,9.4,12.0,-1.2
1782347406,238,9.7,12.0,-1.2
1782348007,233,9.5,11.6,-1.3
1782348606,230,10.0,15.6,-1.4
1782349206,228,10.1,12.0,-1.5
1782349806,225,12.8,17.8,-1.2
1782350406,233,11.6,17.5,-1.3
1782351006,237,11.6,13.6,-1.1
1782351605,236,14.3,21.4,-1.1
1782352206,251,14.2,21.3,-0.9
1782352806,241,13.9,18.1,-0.9
1782353406,237,11.8,34.7,-0.9
1782354006,241,13.9,19.1,-0.9
1782354606,244,14.0,18.0,-0.9
1782355206,240,15.1,19.6,-0.9
1782355806,237,15.9,19.6,-0.9
1782356406,235,15.5,24.4,-0.8
1782357006,234,14.6,19.2,-0.8
1782357607,231,15.4,21.6,-0.8
1782358206,237,15.2,20.2,-0.8
1782363608,225,13.2,22.9,-0.8
1782364206,221,13.5,25.0,-0.8
1782364806,216,14.2,22.8,-0.9
1782365406,215,13.9,21.7,-0.9
1782366007,218,12.9,19.0,-0.9
1782366606,212,10.2,20.3,-0.9
1782367207,216,10.4,18.1,-1.1
1782367806,212,14.6,18.4,-1.0
1782368406,221,9.9,18.4,-1.0
1782369006,232,7.8,16.6,-1.0
1782400807,176,7.0,8.9,-2.6
1782401406,168,7.0,9.8,-2.6
1782402006,186,5.9,7.9,-2.5
1782402606,221,7.0,10.4,-2.4
1782403207,224,5.9,10.3,-2.4
1782403807,230,5.4,10.7,-2.2
1782404406,236,5.6,11.5,-2.2
1782405006,226,5.3,9.5,-2.2
1782405606,229,6.0,12.2,-2.2
1782406206,213,6.9,12.4,-2.3
1782406806,224,6.0,11.9,-2.3
1782407406,250,5.8,10.6,-2.4
1782408006,263,6.3,8.0,-2.4
1782408606,268,6.0,7.6,-2.4
1782409207,268,6.2,8.1,-2.4
1782409806,269,5.9,10.9,-2.4
1782410407,267,6.0,12.2,-2.4
1782411007,266,7.0,13.0,-2.4
1782411608,266,7.0,11.9,-2.4
1782412206,266,7.0,11.1,-2.4
1782412806,264,6.2,9.2,-2.4
1782413406,260,5.7,8.6,-2.4
1782414007,263,6.5,9.9,-2.5
1782414606,268,6.5,9.4,-2.4
1782415206,262,6.1,8.4,-2.4
1782415806,258,6.6,8.4,-2.4
1782416408,252,6.9,9.6,-2.4
1782417006,260,7.1,9.6,-2.4
1782417607,261,6.6,8.9,-2.5
1782418206,257,6.6,8.4,-2.5
1782418807,261,6.6,11.1,-2.4
1782419407,260,6.1,8.8,-2.4
1782420007,260,5.5,7.9,-2.1
1782420606,262,4.8,7.8,-2.2
1782421208,260,5.1,6.7,-2.1
1782421806,266,2.9,4.5,-2.1
1782422406,267,2.8,4.2,-1.9
1782423007,269,4.7,6.0,-1.9
1782423606,268,4.9,6.0,-1.9
1782424206,284,4.3,5.7,-1.9
1782424807,309,4.3,6.3,-1.9
1782425407,315,5.0,7.6,-1.8
1782426006,317,4.5,9.0,-1.8
1782426607,308,5.6,8.9,-1.6
1782427206,308,6.5,10.7,-1.5
1782427807,313,6.4,10.6,-1.5
1782428407,312,6.2,8.8,-1.5
1782429007,315,5.6,8.6,-1.2
1782429607,326,4.6,7.7,-1.1
1782430206,329,3.8,6.1,-0.6
1782430807,310,4.6,6.1,-1.0
1782431406,301,4.5,7.4,-1.0
1782432008,299,4.2,6.1,-0.8
1782432608,289,5.8,7.2,-0.9
1782433207,291,5.5,6.6,-0.8
1782433806,286,5.2,6.4,-0.8
1782434406,283,5.6,7.4,-0.7
1782435008,279,5.0,6.7,-0.6
1782435608,289,4.8,7.5,-0.3
1782436207,299,4.7,6.9,-0.6
1782436807,303,4.5,6.9,-0.5
1782437407,294,3.3,5.9,-0.4
1782438007,303,1.4,4.0,0.2
1782438607,318,2.8,4.8,0.1
1782439207,52,2.0,4.0,0.6
1782439806,43,2.6,5.2,1.2
1782440406,70,4.3,6.3,0.1
1782441007,83,6.8,8.8,-0.7
1782441606,84,4.7,7.6,-0.6
1782442207,67,4.1,5.1,-0.4
1782442808,61,4.6,6.3,-0.2
1782443407,59,5.6,8.5,-0.2
1782444006,59,6.9,9.5,-0.4
1782444607,56,6.3,8.5,-0.2
1782445207,56,5.4,9.2,0.1
1782445806,54,6.3,8.7,-0.2
1782446407,54,5.0,8.7,0.1
1782447006,55,5.5,10.1,-0.1
1782447606,44,3.4,8.6,0.5
1782448206,42,4.3,5.8,0.1
1782448806,52,4.2,6.2,-0.2
1782449407,50,5.4,6.7,-0.8
1782450007,61,5.3,6.2,-1.0
1782450606,56,4.3,5.4,-1.0
1782451206,69,3.7,4.6,-0.9
1782451806,77,2.2,3.0,-0.7
1782452407,216,2.2,6.0,-1.2
1782453006,194,4.2,5.4,-1.6
1782453607,175,3.5,4.5,-1.6
1782454207,176,2.4,3.7,-1.6
1782454806,64,1.3,2.9,-1.6
1782455406,30,3.4,4.7,-1.8
1782456006,34,4.4,5.6,-1.6
1782456608,51,3.9,4.8,-1.8
1782457207,34,4.6,5.2,-1.6
1782457807,33,4.6,5.5,-1.6
1782458407,49,5.8,8.2,-1.6
1782459006,54,7.2,8.9,-1.6
1782459607,58,6.4,7.3,-1.6
1782460207,66,3.2,5.3,-1.4
1782460808,105,2.8,3.4,-1.4
1782461406,96,2.5,3.5,-1.4
1782462006,77,2.6,4.3,-1.5
1782462606,45,3.1,4.9,-1.7
1782463206,50,3.8,5.1,-1.6
1782463806,70,3.3,4.1,-1.5
1782464407,105,2.1,2.9,-1.4
1782465007,180,1.9,2.5,-1.6
1782465606,191,3.9,5.7,-1.9
1782466206,179,3.7,4.9,-2.1
1782466808,177,3.3,4.3,-2.0
1782467406,161,2.4,2.8,-1.6
1782468007,107,2.3,3.0,-1.5
1782468606,122,2.1,2.8,-1.4
1782469207,9,0.6,1.3,-1.7
1782469806,273,0.8,2.0,-1.9
1782470406,270,0.9,1.7,-1.8
1782471006,59,0.6,1.8,-1.7
1782471606,21,1.3,2.6,-1.6
1782472206,294,1.4,2.2,-1.4
1782472806,256,1.1,2.1,-1.0
1782473407,292,1.4,3.2,-1.3
1782474008,263,0.8,2.5,-1.2
1782474606,342,1.7,2.4,-1.2
1782475207,62,1.8,3.0,-0.6
1782475807,52,3.3,4.3,-0.6
1782476406,46,2.3,3.7,-0.2
1782477006,4,1.8,3.2,-0.6
1782477606,351,2.5,3.7,-0.6
1782478206,351,2.8,3.8,-0.2
1782478806,348,3.0,3.8,0.1
1782479407,314,3.3,4.8,0.3
1782480007,293,3.0,4.0,0.2
1782480606,265,3.7,4.3,-0.5
1782481207,270,3.9,4.6,-0.7
1782481806,280,2.6,3.8,-0.5
1782482406,283,1.1,1.9,-0.2
1782483007,243,1.6,3.0,0.6
1782483606,221,1.6,2.7,1.0
1782484206,196,1.4,2.5,1.1
1782484806,184,2.1,2.7,0.9
1782485406,202,1.6,2.9,0.5
1782486006,176,1.4,1.9,0.5
1782486606,194,1.5,2.1,0.6
1782487206,197,2.0,3.4,1.1
1782487806,209,3.5,3.9,1.1
1782488406,205,3.7,4.7,1.1
1782489006,200,3.8,4.4,1.1
1782489606,197,3.6,4.3,1.2
1782490207,188,2.5,3.4,1.5
1782490806,171,1.9,2.7,1.4
1782491406,149,1.4,1.8,2.1
1782492005,146,1.5,1.8,2.5
1782492606,197,2.5,3.7,2.2
1782493207,217,4.0,4.8,2.2
1782493807,215,4.5,5.7,2.3
1782494406,208,4.2,5.8,2.2
1782495006,193,3.7,5.1,2.1
1782495606,163,2.9,3.9,2.4
1782496206,144,3.5,4.3,2.9
1782496807,183,3.7,4.8,2.9
1782497406,182,4.5,6.8,2.8
1782498006,185,5.1,6.2,3.2
1782498607,209,4.7,6.2,3.6
1782499206,236,4.2,5.6,3.5
1782499806,248,5.2,6.2,3.8
1782500406,229,5.6,6.3,3.8
1782501008,225,5.2,6.0,3.7
1782501606,221,5.3,6.4,3.3
1782502207,216,5.2,6.3,2.5
1782502806,225,5.2,6.3,2.3
1782503406,222,6.4,7.8,1.7
1782504007,226,7.1,8.4,1.5
