ts,dir,speed_kt,gust_kt,temp_c
1782345611,195,19.8,27.0,-0.2
1782346211,200,17.7,22.7,-0.2
1782346810,200,18.6,25.3,-0.2
1782347409,197,19.1,25.6,-0.3
1782348010,193,21.3,28.2,-0.2
1782348609,192,20.2,28.6,-0.1
1782349210,191,19.9,31.3,-0.1
1782349810,195,19.2,26.6,-0.1
1782350409,199,19.9,25.8,-0.2
1782351009,196,21.1,25.7,-0.2
1782351609,198,18.4,22.5,-0.2
1782352209,199,16.9,22.2,-0.1
1782352810,199,17.6,22.3,-0.1
1782353410,199,17.0,22.6,-0.1
1782354009,199,18.9,24.1,-0.1
1782354610,195,18.9,23.9,-0.2
1782355209,195,19.2,24.7,-0.3
1782355809,196,17.6,22.6,-0.3
1782356410,195,17.5,22.0,-0.3
1782357009,197,16.6,20.7,-0.3
1782357610,199,17.6,22.5,-0.3
1782358209,196,17.1,21.6,-0.3
1782358809,200,16.7,21.1,-0.4
1782359409,204,13.3,17.3,-0.4
1782360010,206,12.4,16.2,-0.3
1782360611,207,13.1,16.9,-0.2
1782361209,201,15.1,20.9,-0.1
1782361809,199,16.6,22.7,-0.1
1782362412,200,16.5,20.6,-0.3
1782363010,204,17.4,21.0,-0.4
1782363611,206,16.1,22.1,-0.5
1782364210,203,16.0,20.8,-0.8
1782364809,203,14.9,20.2,-0.9
1782365410,206,12.2,15.7,-0.8
1782366010,208,10.8,13.9,-0.9
1782366609,211,9.6,12.2,-1.2
1782367210,220,10.2,12.6,-1.0
1782367809,224,10.3,13.4,-1.2
1782368409,216,10.8,13.5,-1.1
1782369009,212,9.7,12.6,-0.9
1782369610,202,11.4,15.4,-0.6
1782370209,207,10.3,14.0,-0.7
1782370810,214,8.9,11.4,-0.8
1782371409,208,9.0,13.4,-0.8
1782372010,199,10.1,14.0,-0.6
1782372610,189,10.1,13.6,-0.4
1782373209,181,10.6,14.4,-0.3
1782373809,176,9.8,14.5,-0.3
1782374410,173,7.5,12.9,-0.4
1782375009,174,5.8,9.1,-0.6
1782375609,181,7.5,12.2,-0.8
1782376209,182,10.3,14.6,-0.9
1782376810,176,9.3,15.0,-0.9
1782377410,178,7.7,12.4,-1.1
1782378010,187,7.3,12.4,-1.1
1782378610,195,10.4,15.0,-1.3
1782379209,197,9.9,13.1,-1.4
1782379809,199,8.5,12.4,-1.6
1782380409,205,8.1,11.9,-1.8
1782381011,218,5.2,8.0,-2.2
1782381610,209,6.7,8.6,-2.3
1782382209,219,5.1,6.5,-2.7
1782382809,230,6.1,8.4,-3.2
1782383410,240,7.4,8.4,-3.2
1782384010,242,8.4,10.5,-2.9
1782384609,243,8.8,11.2,-2.4
1782385211,248,8.9,11.7,-2.4
1782385810,242,9.4,12.4,-2.2
1782386410,232,8.5,10.6,-2.4
1782387010,224,5.6,8.3,-2.5
1782387610,242,3.5,5.2,-2.6
1782388209,280,4.3,5.6,-2.2
1782388811,272,3.9,6.0,-2.0
1782389411,258,4.5,6.5,-2.0
1782390009,255,4.5,7.7,-2.1
1782390610,261,1.4,2.5,-2.0
1782391211,261,2.5,3.8,-1.9
1782391810,279,2.7,5.0,-1.9
1782392409,282,3.5,5.5,-1.9
1782393010,278,3.9,6.4,-2.1
1782393609,271,4.4,7.4,-2.1
1782394210,223,2.3,5.6,-2.0
1782394810,220,2.1,5.2,-1.9
1782395409,248,2.4,3.9,-1.6
1782396009,259,3.7,5.3,-2.3
1782396609,212,3.3,5.7,-2.3
1782397209,225,3.2,5.9,-2.4
1782397810,242,3.7,5.5,-2.6
1782398409,223,5.0,6.8,-2.6
1782399010,215,4.8,6.1,-2.7
1782399610,210,5.3,6.4,-2.7
1782400209,223,4.5,6.0,-2.9
1782400810,226,3.1,4.3,-2.4
1782401410,238,3.0,4.5,-2.6
1782402009,232,3.8,5.1,-3.1
1782402609,236,5.1,7.1,-2.9
1782403210,216,4.5,6.6,-3.0
1782403810,211,5.0,6.2,-3.3
1782404409,208,5.0,5.7,-3.1
1782405010,211,4.6,5.4,-3.1
1782405609,201,4.4,5.2,-3.0
1782406210,206,4.3,5.7,-2.9
1782406809,214,4.0,4.7,-2.9
1782407409,202,4.1,5.4,-2.9
1782408009,208,4.2,5.4,-3.1
1782408610,199,4.2,5.0,-3.3
1782409210,203,4.0,4.7,-3.3
1782409809,218,3.5,4.2,-3.2
1782410411,234,3.4,4.3,-2.9
1782411010,229,3.0,4.5,-3.4
1782411611,240,4.3,6.8,-4.0
1782412210,237,3.7,5.6,-4.3
1782412810,238,3.9,5.6,-4.5
